id,no,kode_wilayah_kemendagri,kode_wilayah_bps,kabupaten,komoditas,kebutuhan,ketersediaan,neraca,satuan,minggu_ke,bulan,tahun,status
1,1,32.18,3218,PANGANDARAN,BERAS,803.42,1154.28057,350.8605697,TON,1,JANUARI,2022,SURPLUS
2,2,32.18,3218,PANGANDARAN,JAGUNG,0.37,7.855,7.485,TON,1,JANUARI,2022,SURPLUS
3,3,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,7.995,-15.365,TON,1,JANUARI,2022,DEFISIT
4,4,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.755,-5.975,TON,1,JANUARI,2022,DEFISIT
5,5,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,17.205,14.925,TON,1,JANUARI,2022,SURPLUS
6,6,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,11.295,-4.245,TON,1,JANUARI,2022,DEFISIT
7,7,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,9.52,5.68,TON,1,JANUARI,2022,SURPLUS
8,8,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,170.15,112.14,TON,1,JANUARI,2022,SURPLUS
9,9,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,108.19,59.75,TON,1,JANUARI,2022,SURPLUS
10,10,32.18,3218,PANGANDARAN,GULA PASIR,22,20.63,-1.37,TON,1,JANUARI,2022,DEFISIT
11,11,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,33.2,-57.13,TON,1,JANUARI,2022,DEFISIT
12,12,32.18,3218,PANGANDARAN,BERAS,803.42,1153.93057,350.5105697,TON,2,JANUARI,2022,SURPLUS
13,13,32.18,3218,PANGANDARAN,JAGUNG,0.37,7.715,7.345,TON,2,JANUARI,2022,SURPLUS
14,14,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,7.995,-15.365,TON,2,JANUARI,2022,DEFISIT
15,15,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.79,-5.94,TON,2,JANUARI,2022,DEFISIT
16,16,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,17.38,15.1,TON,2,JANUARI,2022,SURPLUS
17,17,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,11.19,-4.35,TON,2,JANUARI,2022,DEFISIT
18,18,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,10.22,6.38,TON,2,JANUARI,2022,SURPLUS
19,19,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,169.8,111.79,TON,2,JANUARI,2022,SURPLUS
20,20,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,106.79,58.35,TON,2,JANUARI,2022,SURPLUS
21,21,32.18,3218,PANGANDARAN,GULA PASIR,22,20.7,-1.3,TON,2,JANUARI,2022,DEFISIT
22,22,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,92.85,2.52,TON,2,JANUARI,2022,DEFISIT
23,23,32.18,3218,PANGANDARAN,BERAS,803.42,1153.58057,350.1605697,TON,3,JANUARI,2022,SURPLUS
24,24,32.18,3218,PANGANDARAN,JAGUNG,0.37,7.645,7.275,TON,3,JANUARI,2022,SURPLUS
25,25,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,8.17,-15.19,TON,3,JANUARI,2022,DEFISIT
26,26,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.755,-5.975,TON,3,JANUARI,2022,DEFISIT
27,27,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,17.695,15.415,TON,3,JANUARI,2022,SURPLUS
28,28,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,11.47,-4.07,TON,3,JANUARI,2022,DEFISIT
29,29,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,10.22,6.38,TON,3,JANUARI,2022,SURPLUS
30,30,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,169.45,111.44,TON,3,JANUARI,2022,SURPLUS
31,31,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,110.29,61.85,TON,3,JANUARI,2022,SURPLUS
32,32,32.18,3218,PANGANDARAN,GULA PASIR,22,21.365,-0.635,TON,3,JANUARI,2022,DEFISIT
33,33,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,92.85,2.52,TON,3,JANUARI,2022,SURPLUS
34,34,32.18,3218,PANGANDARAN,BERAS,803.42,1152.53057,349.1105697,TON,4,JANUARI,2022,SURPLUS
35,35,32.18,3218,PANGANDARAN,JAGUNG,0.37,9.15,8.78,TON,4,JANUARI,2022,SURPLUS
36,36,32.18,3218,PANGANDARAN,BAWANG MERAH,23.36,6.66,-16.7,TON,4,JANUARI,2022,DEFISIT
37,37,32.18,3218,PANGANDARAN,BAWANG PUTIH,9.73,3.895,-5.835,TON,4,JANUARI,2022,DEFISIT
38,38,32.18,3218,PANGANDARAN,CABAI BESAR,2.28,7.145,4.865,TON,4,JANUARI,2022,SURPLUS
39,39,32.18,3218,PANGANDARAN,CABAI RAWIT,15.54,12.75,-2.79,TON,4,JANUARI,2022,DEFISIT
40,40,32.18,3218,PANGANDARAN,DAGING SAPI/KERBAU,3.84,16.6,12.76,TON,4,JANUARI,2022,SURPLUS
41,41,32.18,3218,PANGANDARAN,DAGING AYAM RAS,58.01,100.41,42.4,TON,4,JANUARI,2022,SURPLUS
42,42,32.18,3218,PANGANDARAN,TELUR AYAM RAS,48.44,44.05,-4.39,TON,4,JANUARI,2022,DEFISIT
43,43,32.18,3218,PANGANDARAN,GULA PASIR,22,20.805,-1.195,TON,4,JANUARI,2022,DEFISIT
44,44,32.18,3218,PANGANDARAN,MINYAK GORENG,90.33,20.95,-69.38,TON,4,JANUARI,2022,DEFISIT
45,45,32.18,3218,PANGANDARAN,BERAS,803.42,1150.43057,347.0105697,TON,5,JANUARI,2022,SURPLUS
46,46,32.18,3218,PANGANDARAN,JAGUNG,0.37,7.785,7.415,TON,5,JANUARI,2022,SURPLUS
